C:\Users\Eon\miniforge3\envs\lmy12\python.exe C:\Users\Eon\PycharmProjects\DCDDPM\train.py
CUDA 可用，有 1 个 GPU 可用
device: cuda:0
Epoch [222/1000], Loss: 20.6170, Used: 4.8451s
Epoch [223/1000], Loss: 16.4296, Used: 4.8424s
Epoch [224/1000], Loss: 19.1320, Used: 4.8449s
Epoch [225/1000], Loss: 15.2138, Used: 4.8425s
Epoch [226/1000], Loss: 18.0649, Used: 4.8435s
Epoch [227/1000], Loss: 16.3560, Used: 4.8424s
Epoch [228/1000], Loss: 16.9258, Used: 4.8449s
Epoch [229/1000], Loss: 16.5108, Used: 4.8439s
Epoch [230/1000], Loss: 15.4114, Used: 4.8429s
Epoch [231/1000], Loss: 14.3770, Used: 4.8434s
Epoch [232/1000], Loss: 17.0484, Used: 4.8431s
Epoch [233/1000], Loss: 18.4670, Used: 4.8420s
Epoch [234/1000], Loss: 16.1139, Used: 4.8458s
Epoch [235/1000], Loss: 14.2791, Used: 4.8445s
Epoch [236/1000], Loss: 17.9624, Used: 4.8439s
Epoch [237/1000], Loss: 17.0147, Used: 4.8422s
Epoch [238/1000], Loss: 16.2744, Used: 4.8437s
Epoch [239/1000], Loss: 16.7182, Used: 4.8442s
Epoch [240/1000], Loss: 16.8271, Used: 4.8431s
Epoch [241/1000], Loss: 17.7203, Used: 4.8433s
Epoch [242/1000], Loss: 15.9813, Used: 4.8448s
Epoch [243/1000], Loss: 14.6380, Used: 4.8441s
Epoch [244/1000], Loss: 15.5965, Used: 4.8415s
Epoch [245/1000], Loss: 20.3562, Used: 4.8431s
Epoch [246/1000], Loss: 15.3499, Used: 4.8432s
Epoch [247/1000], Loss: 16.8259, Used: 4.8451s
Epoch [248/1000], Loss: 15.1389, Used: 4.8430s
Epoch [249/1000], Loss: 14.4458, Used: 4.8427s
Epoch [250/1000], Loss: 16.2453, Used: 4.8439s
Epoch [251/1000], Loss: 13.9152, Used: 4.8422s
Epoch [252/1000], Loss: 17.0241, Used: 4.8426s
Epoch [253/1000], Loss: 15.3161, Used: 4.8468s
Epoch [254/1000], Loss: 14.5751, Used: 4.8445s
Epoch [255/1000], Loss: 15.0374, Used: 4.8431s
Epoch [256/1000], Loss: 14.1946, Used: 4.8444s
Epoch [257/1000], Loss: 14.7835, Used: 4.8435s
Epoch [258/1000], Loss: 14.0758, Used: 4.8418s
